model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
ensemble_bias_item,17,0.5775688213664469,1088.0,930.9624574685499,496.13375915208536,-157.0375425314501,-0.14433597659140635,144.0
ensemble_bias_item,18,0.5792371813473515,1078.0,947.4445213351191,490.6264723179776,-130.55547866488092,-0.12110897835332182,144.0
ensemble_bias_item,19,0.6130170476576658,1101.0,967.6653902012929,491.5632357228456,-133.33460979870716,-0.1211031878280719,144.0
ensemble_bias_item,20,0.5979277738091082,1026.0,1010.9262708790868,442.4605810299335,-15.07372912091327,-0.014691743782566541,144.0
ensemble_bias_item,21,0.6632639761310697,1105.0,1062.7987778544657,410.13059965040054,-42.20122214553445,-0.0381911512629271,144.0
ensemble_bias_item,22,0.6706490328205761,1162.0,1011.8359098900356,437.49475390916837,-150.16409010996438,-0.12922899320995213,144.0
ensemble_bias_item,23,0.5711668743736654,1018.0,994.2915354654904,472.6037812912942,-23.708464534509744,-0.023289257892445722,144.0
ensemble_bias_item,24,0.6256872934195341,1148.0,956.3489157597342,477.71204993958463,-191.65108424026585,-0.1669434531709633,144.0
ensemble_bias_item,25,0.587761562512353,1107.0,973.6879000659771,498.274082383786,-133.31209993402294,-0.1204264678717461,144.0
ensemble_bias_item,26,0.6265103041294681,1202.0,992.9784900731022,484.3536068978401,-209.02150992689778,-0.17389476699409134,144.0
ensemble_bias_item,27,0.5651798577555646,1046.0,1034.3103884292264,480.4477682516135,-11.689611570773536,-0.01117553687454449,144.0
ensemble_bias_item,28,0.62577273537473,1153.0,1086.225791124577,467.7363295781126,-66.77420887542304,-0.05791345088935216,144.0
ensemble_residual_beta_0.3,1,0.6676820955167191,1003.0,932.6874755665365,401.5513955757086,-70.31252443346344,-0.07010221778012307,144.0
ensemble_residual_beta_0.3,2,0.5813875792896831,982.0,897.7822370866094,453.9998010808651,-84.21776291339064,-0.08576146936190493,144.0
ensemble_residual_beta_0.3,3,0.501199328505452,869.0,826.1917892553579,467.4655657738716,-42.80821074464215,-0.04926146230683792,144.0
ensemble_residual_beta_0.3,4,0.5658416354010364,962.0,851.471666078189,461.48644489773926,-110.52833392181115,-0.1148943180060407,144.0
ensemble_residual_beta_0.3,5,0.5588328945907598,1024.0,910.5880045118058,502.6299861319029,-113.41199548819401,-0.11075390184393946,144.0
ensemble_residual_beta_0.3,6,0.602063573103507,1010.0,943.8036229440637,442.0257740103225,-66.1963770559363,-0.06554096738211515,144.0
